Pais    CiudadDestacada Bandera Moneda
Grecia  Atenas
Irak    Bagdad
Mali    Bamako
Tailandia   Bangkok
Hungria Budapest
Argentina   Buenos-Aires
Egipto  Cairo
SriLanka    Colombo
Turquia Estambul
Nepal   Katmandu
Ruanda  Kigali
Peru    Lima
Inglaterra  Londres
Mexico  Ciudad-de-Mexico
Canada  Montreal
Comoras Moroni
Rusia   Moscu
India   Nueva-Delhi
USA Nueva-York
Noruega Oslo
Francia Paris
China   Pekin
NuevaGuinea Puerto-Moresby
Islandia    Reikiavik
Brasil  Rio
Italia  Roma
SanMarino   San-Marino
Singapur    Singapur
Australia   Sidney
Japon   Tokio
