NombreObjeto,Origen,Valor
Tesoro Nacional de Montreal,Canada,1
Huevo de 1000 años,China,1
Tabla de Babilonia,Irak,1
Colmillo de jabali,NuevaGuinea,1
Candelabro de la opera,Australia,1
Crucifijo de constantinopla,Turquia,1
Corona real,Inglaterra,1
Alfombra voladora,Irak,1
Buda de oro,Tailandia,1
Mascara de oro Inca,Peru,1
Manuscrito Islamico,Mali,2
Corona de Ivan,Rusia,2
Mascara de Tutankamon,Egipto,2
Mascara de Moctezuma,Mexico,2
Mascara de Priamo,Grecia,2
Leon dorado,Singapur,2
Pintura del Kremlim,Rusia,2
Anillo del papa,Italia,2
Vasija del imperio,Mali,2
Planta de te,SriLanka,2
Cuarzo real,Nepal,3
Rubi,SriLanka,3
Llama de plata,Peru,3
Bola de oro solida,Argentina,3
Copa de Stanley,Canada,3
Guacamayo,Brasil,3
Rockettes,USA,3
Casco vikingo,Noruega,3
Corona del rey de Kigali,Ruanda,3
